E03344,Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,27,109851.00,0.00,United States,Seattle,1012,4,null
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,56,98581.00,0.00,Brazil,Rio de Janerio,1027,4,null
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,246231.00,0.31,United States,Seattle,1028,4,null
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,64,99354.00,0.12,China,Beijing,1029,4,null
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,99989.00,0.00,China,Chengdu,1037,4,null
E03720,Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,Caucasian,52,71476.00,0.00,United States,Phoenix,1049,4,null
E03025,Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,45,189420.00,0.20,United States,Seattle,1050,4,null
E00023,Gabriel Joseph,Director,Engineering,Manufacturing,Male,Caucasian,52,187992.00,0.28,United States,Miami,1741,4,null
E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,240488.00,0.40,Brazil,Rio de Janerio,1135,4,null
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,61,80950.00,0.00,China,Chongqing,1139,4,null
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,86538.00,0.00,China,Chengdu,1140,4,null
E01425,Anthony Rogers,Vice President,Engineering,Corporate,Male,Caucasian,33,205314.00,0.30,United States,Columbus,1142,4,null
E04458,Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,Caucasian,30,88758.00,0.00,United States,Seattle,1148,4,null
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,Latino,45,75819.00,0.00,Brazil,Sao Paulo,1151,4,null
E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,169509.00,0.18,Brazil,Manaus,1251,4,null
E03664,Aria Castro,Engineering Manager,Engineering,Speciality Products,Female,Latino,45,113873.00,0.11,Brazil,Rio de Janerio,1253,4,null
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,70778.00,0.00,United States,Austin,1257,4,null
E04533,Easton Bailey,Manager,Accounting,Manufacturing,Male,Caucasian,29,113527.00,0.06,United States,Austin,1009,5,null
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,97078.00,0.00,United States,Austin,1015,5,null
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,249270.00,0.30,United States,Seattle,1016,6,null
E00884,Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,Latino,64,154828.00,0.13,United States,Seattle,1018,6,null
E01628,Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,27,256420.00,0.30,United States,Phoenix,1038,6,null
E03749,Kennedy Foster,Manager,Marketing,Speciality Products,Female,Caucasian,53,113135.00,0.05,United States,Austin,1042,6,null
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,122350.00,0.12,United States,Phoenix,1045,6,null
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,157333.00,0.15,United States,Miami,1011,2,null
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,105086.00,0.09,United States,Austin,1013,2,null
E02206,Jose Henderson,Director,Human Resources,Speciality Products,Male,Black,41,152239.00,0.23,United States,Columbus,1026,2,null
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,86317.00,0.00,China,Chengdu,1041,2,null
E04917,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,64,64057.00,0.00,United States,Phoenix,1051,2,null
E02572,Luna Sanders,Director,Finance,Speciality Products,Female,Caucasian,50,163099.00,0.20,United States,Chicago,1003,3,null
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,95409.00,0.00,United States,Phoenix,1005,3,null
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,41336.00,0.00,United States,Miami,1008,3,null
E03838,Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,34,77203.00,0.00,United States,Chicago,1010,3,null
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,51,146742.00,0.10,China,Shanghai,1014,3,null
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,55499.00,0.00,Brazil,Manaus,1032,3,null
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,50994.00,0.00,China,Chongqing,1006,7,null
E04625,Adam Dang,Director,Sales,Research & Development,Male,Asian,45,166331.00,0.18,China,Chongqing,1020,7,null
E04732,Eva Rivera,Director,Sales,Manufacturing,Female,Latino,36,151703.00,0.21,United States,Miami,1022,7,null
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,49998.00,0.00,United States,Seattle,1024,7,null
E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,207172.00,0.31,China,Chongqing,1025,7,null
E01994,Angel Powell,Analyst II,Sales,Research & Development,Male,Caucasian,61,66521.00,0.00,United States,Seattle,1033,7,null
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,59100.00,0.00,China,Chongqing,1034,7,null
E04600,William Vu,Account Representative,Sales,Speciality Products,Male,Asian,37,56037.00,0.00,China,Shanghai,1044,7,null
E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,83990.00,0.00,United States,Chicago,1056,4,null
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,102043.00,0.00,United States,Chicago,1057,4,null
E01633,Addison Do,Operations Engineer,Engineering,Manufacturing,Female,Asian,46,90678.00,0.00,United States,Columbus,1058,4,null
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,92753.00,0.13,United States,Austin,1063,4,null
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,76354.00,0.00,United States,Phoenix,1071,4,null
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,86299.00,0.00,United States,Seattle,1074,4,null
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,86858.00,0.00,China,Chongqing,1077,4,null
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,116878.00,0.11,United States,Miami,1082,4,null
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,70505.00,0.00,United States,Austin,1083,4,null
E01807,Cameron Evans,Test Engineer,Engineering,Corporate,Male,Caucasian,50,63098.00,0.00,United States,Columbus,1260,4,null
E04222,Quinn Xiong,Test Engineer,Engineering,Research & Development,Female,Asian,55,73248.00,0.00,United States,Columbus,1301,4,null
E02139,Rylee Yu,Director,Accounting,Research & Development,Female,Asian,36,178700.00,0.29,United States,Seattle,1055,5,null
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,74691.00,0.00,Brazil,Manaus,1062,5,null
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,109812.00,0.09,Brazil,Manaus,1073,5,null
E03824,Penelope Coleman,Analyst,Finance,Corporate,Female,Black,36,48906.00,0.00,United States,Miami,1065,3,null
E01499,Jade Rojas,Director,Finance,Speciality Products,Female,Latino,37,165927.00,0.20,United States,Phoenix,1072,3,null
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,57008.00,0.00,United States,Phoenix,1079,3,null
E02166,John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,60,141899.00,0.15,United States,Phoenix,1080,3,null
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,140402.00,0.15,China,Beijing,1092,3,null
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,59817.00,0.00,Brazil,Sao Paulo,1093,3,null
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,247022.00,0.30,China,Beijing,1097,3,null
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,Black,46,59067.00,0.00,United States,Miami,1059,2,null
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,236946.00,0.37,United States,Seattle,1064,2,null
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,54415.00,0.00,United States,Seattle,1067,2,null
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,48345.00,0.00,China,Chengdu,1086,2,null
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,152214.00,0.30,China,Beijing,1087,2,null
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,95998.00,0.00,United States,Seattle,1095,2,null
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,199041.00,0.16,China,Beijing,1104,2,null
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,64,159571.00,0.10,United States,Columbus,1106,3,null
E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,180664.00,0.27,United States,Chicago,1085,5,null
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,52310.00,0.00,United States,Miami,1105,5,null
E03694,Hailey Watson,Sr. Manger,Accounting,Corporate,Female,Black,31,124629.00,0.10,United States,Columbus,1685,5,null
E03220,Alexander Gonzales,Manager,Accounting,Research & Development,Male,Latino,34,128329.00,0.08,United States,Phoenix,1687,5,null
E01749,Nathan Lee,Analyst,Accounting,Manufacturing,Male,Asian,29,58703.00,0.00,United States,Columbus,1950,5,null
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,68728.00,0.00,United States,Phoenix,1052,6,null
E04207,John Contreras,Analyst II,Marketing,Manufacturing,Male,Latino,35,66889.00,0.00,United States,Columbus,1054,6,null
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,135062.00,0.15,China,Chengdu,1060,6,null
E04798,Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,30,120341.00,0.07,United States,Seattle,1068,6,null
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,206624.00,0.40,Brazil,Sao Paulo,1075,6,null
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,64847.00,0.00,United States,Miami,1081,6,null
